iter	Passed	Remaining
0	163	163578
1	180	90168
2	194	64612
3	209	52134
4	223	44411
5	236	39231
6	251	35624
7	265	32883
8	279	30727
9	292	28971
10	306	27598
11	319	26292
12	331	25203
13	345	24317
14	358	23559
15	371	22873
16	384	22226
17	397	21700
18	412	21307
19	428	20972
20	442	20637
21	455	20254
22	469	19946
23	482	19606
24	494	19279
25	506	18962
26	518	18697
27	530	18422
28	544	18218
29	556	17997
30	568	17765
31	581	17578
32	593	17396
33	605	17208
34	617	17036
35	630	16870
36	640	16676
37	651	16492
38	661	16309
39	673	16159
40	683	15987
41	694	15830
42	705	15701
43	717	15583
44	729	15474
45	739	15339
46	751	15228
47	761	15108
48	772	14984
49	782	14876
50	794	14778
51	804	14671
52	815	14579
53	826	14484
54	837	14385
55	847	14285
56	859	14211
57	870	14130
58	882	14071
59	892	13979
60	903	13905
61	914	13835
62	925	13768
63	939	13734
64	951	13680
65	963	13633
66	974	13569
67	986	13519
68	997	13461
69	1009	13407
70	1020	13352
71	1032	13310
72	1045	13270
73	1056	13220
74	1068	13184
75	1080	13139
76	1093	13109
77	1105	13066
78	1117	13024
79	1129	12985
80	1140	12939
81	1152	12897
82	1164	12868
83	1177	12836
84	1188	12792
85	1200	12758
86	1211	12718
87	1223	12678
88	1235	12646
89	1247	12611
90	1260	12595
91	1272	12562
92	1284	12529
93	1295	12490
94	1311	12494
95	1325	12484
96	1338	12456
97	1349	12418
98	1360	12380
99	1372	12350
100	1383	12314
101	1395	12281
102	1411	12291
103	1425	12279
104	1437	12255
105	1450	12230
106	1462	12203
107	1476	12194
108	1489	12171
109	1501	12147
110	1512	12115
111	1524	12090
112	1537	12065
113	1549	12040
114	1560	12010
115	1572	11986
116	1584	11961
117	1596	11933
118	1608	11909
119	1621	11888
120	1634	11871
121	1646	11848
122	1658	11827
123	1672	11815
124	1685	11797
125	1698	11779
126	1711	11762
127	1724	11749
128	1737	11733
129	1751	11721
130	1763	11698
131	1775	11678
132	1787	11654
133	1799	11627
134	1810	11600
135	1822	11579
136	1834	11553
137	1845	11528
138	1857	11502
139	1868	11478
140	1880	11455
141	1893	11439
142	1905	11420
143	1918	11402
144	1929	11379
145	1941	11355
146	1952	11332
147	1964	11312
148	1976	11290
149	1988	11269
150	2000	11245
151	2011	11222
152	2022	11196
153	2033	11172
154	2045	11148
155	2056	11124
156	2068	11105
157	2079	11083
158	2091	11061
159	2103	11041
160	2115	11021
161	2126	11001
162	2137	10978
163	2149	10957
164	2160	10934
165	2173	10920
166	2181	10882
167	2190	10848
168	2200	10817
169	2211	10797
170	2223	10778
171	2234	10758
172	2242	10720
173	2254	10701
174	2265	10681
175	2277	10661
176	2288	10641
177	2301	10626
178	2312	10604
179	2319	10568
180	2328	10537
181	2340	10519
182	2352	10501
183	2363	10481
184	2375	10464
185	2386	10444
186	2396	10420
187	2409	10406
188	2418	10379
189	2430	10362
190	2439	10333
191	2448	10303
192	2457	10276
193	2466	10249
194	2478	10231
195	2487	10202
196	2495	10173
197	2504	10145
198	2516	10127
199	2524	10098
200	2533	10071
201	2545	10056
202	2554	10027
203	2562	9998
204	2571	9972
205	2584	9960
206	2593	9934
207	2606	9923
208	2618	9911
209	2632	9903
210	2641	9878
211	2653	9863
212	2662	9837
213	2673	9820
214	2685	9805
215	2696	9787
216	2705	9762
217	2717	9747
218	2725	9721
219	2734	9695
220	2745	9676
221	2758	9665
222	2771	9657
223	2780	9631
224	2791	9614
225	2800	9590
226	2809	9567
